ANID	Project ID	Alternate_ID	Excavator	Source_Person	Affiliation	Region	Country	State_Province	County_District	Subregion	Site_Name	Site_Number	Material	Sample_Type	Description	Culture	Context	Provenience	Period	Analyis_Date	Fe	Fe_err	Zn	Zn_err	Rb	Rb_err	Sr	Sr_err	Y	Y_err	Zr	Zr_err	Nb	Nb_err	Th	Th_err	Source_Code	Source_Name								
BLUM0052	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Valdez	2020	5972	120	30	5	124	4	4	1	17	2	63	2	35	2	14	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0053	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Valdez	2020	7313	127	59	6	154	5	3	1	41	2	165	3	51	2	15	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0054	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Valdez	2020	4423	97	32	5	146	4	4	1	20	2	72	2	39	2	16	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0055	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	3811	92	28	5	145	4	3	1	19	2	70	2	39	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0056	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	7077	127	54	6	152	5	4	1	37	2	167	3	52	2	16	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0057	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	3519	92	27	5	133	4	3	1	19	2	63	2	35	2	12	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0058	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	4592	103	32	5	134	4	4	1	19	2	66	2	36	2	13	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0059	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	4139	96	29	5	141	4	3	1	21	2	71	2	37	2	14	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0060	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	4143	93	29	5	143	4	3	1	20	2	70	2	40	2	15	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0061	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	3585	94	28	5	130	4	4	1	18	2	64	2	36	2	13	2	JMPV-NM	Jemez Mountains: El Rechuelos								
